date,quarter,gdp_real
2024-03-01,2024Q1,195069.0
2024-04-01,2024Q2,199505.0
2024-05-01,2024Q2,199505.0
2024-06-01,2024Q2,199505.0
2024-07-01,2024Q3,199389.0
2024-08-01,2024Q3,199389.0
2024-09-01,2024Q3,199389.0
2024-10-01,2024Q4,203753.0
2024-11-01,2024Q4,203753.0
2024-12-01,2024Q4,203753.0
2025-01-01,2025Q1,200020.0
2025-02-01,2025Q1,200020.0
2025-03-01,2025Q1,200020.0
2025-04-01,2025Q2,202075.0
